[2021-04-03 17:23:13.634] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-solarized-dark/package.json'
[2021-04-03 17:23:13.635] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/powershell/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/powershell/package.json'
[2021-04-03 17:23:13.636] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-defaults/package.json'
[2021-04-03 17:23:13.636] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-quietlight/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-quietlight/package.json'
[2021-04-03 17:23:13.636] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-language-features/package.json'
[2021-04-03 17:23:15.421] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/testing-editor-contributions/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/testing-editor-contributions/package.json'
[2021-04-03 17:23:55.531] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html/package.json'
[2021-04-03 17:23:55.533] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html-language-features/package.json'
[2021-04-03 17:23:57.154] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html/package.json'
[2021-04-03 17:23:57.157] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/css-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/css-language-features/package.json'
[2021-04-03 17:23:57.157] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html-language-features/package.json'
[2021-04-03 17:23:57.157] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/css/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/css/package.json'
[2021-04-03 17:34:12.231] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/rust/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/rust/package.json'
[2021-04-03 17:35:28.362] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-seti/package.json'
